baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000013619	0.377080336	0.122419721	1.066509925	0.114785355	0.908615257	NA
ENSG00000013725	5.697896919	-1.001339238	0.565137113	-1.771851847	0.076419153	0.192854035
ENSG00000013810	139.5476895	-0.373101714	0.131005226	-2.847991076	0.004399616	0.030988138
ENSG00000014123	31.41198844	-0.918058158	0.435236903	-2.109329775	0.034916126	0.117538593
ENSG00000014138	5.107921685	-1.065067271	0.734439898	-1.450176215	0.147009386	0.292617252
ENSG00000014164	3.111537613	-0.318413944	0.446071188	-0.713818675	0.475339311	0.625933914
ENSG00000014216	1300.655527	0.415508908	0.14965718	2.776404757	0.005496374	0.035702
ENSG00000014257	4.629507522	-0.926550428	0.850068089	-1.089972015	0.275725472	0.440969503
ENSG00000014641	97.84562963	-0.77680558	0.276973209	-2.804623537	0.005037538	0.033778372
ENSG00000014824	46.61693541	-0.51328479	0.284415448	-1.80470081	0.071121513	0.183853472
ENSG00000014914	3.959660169	-1.120372129	0.645860132	-1.734697769	0.082794352	0.203113568
